;Belgium;Bulgaria;Czechia;Denmark;Germany (until 1990 former territory of the FRG);Estonia;Ireland;Greece;Spain;France;Croatia;Italy;Cyprus;Latvia;Lithuania;Luxembourg;Hungary;Malta;Netherlands;Austria;Poland;Portugal;Romania;Slovenia;Slovakia;Finland;Sweden
2012;-92,2;25,2;-1,1;10,9;3,1;-1,2;-348,6;125,5;93,8;33,8;60,0;52,5;274,6;40,8;34,0;-2.198,8;67,9;-466,4;51,7;25,8;35,4;104,6;38,7;42,2;22,1;40,4;58,5
2013;-81,8;21,6;-5,0;8,2;-3,9;-5,0;-343,1;133,3;92,7;32,4;59,9;56,6;367,4;38,0;29,6;-2.039,0;59,2;-362,3;51,6;20,1;37,0;103,8;36,4;37,6;23,8;41,0;56,8
2014;-70,7;18,2;-6,2;0,2;-6,4;-10,5;-400,3;133,6;95,8;35,8;58,6;57,7;504,0;33,2;28,6;-1.766,8;56,8;-291,9;53,0;20,0;37,4;107,6;29,5;36,7;27,5;47,5;57,1
2015;-52,8;1,7;-9,6;0,8;-8,6;-10,3;-285,0;137,8;92,0;35,3;52,1;58,3;584,5;27,8;26,8;-1.674,6;23,6;-228,4;53,0;19,3;35,4;103,8;27,3;30,4;28,5;41,6;49,4
2016;-28,0;-9,4;-13,3;-6,3;-10,6;-9,9;-362,7;136,6;88,2;34,6;41,5;55,6;507,7;26,2;25,2;-1.672,3;9,8;-216,1;35,3;20,2;32,7;96,1;21,8;24,2;28,6;41,7;47,9
2017;-15,2;-12,1;-11,5;-8,2;-14,6;-13,9;-381,0;137,8;86,0;38,2;31,5;54,2;476,0;20,6;19,3;-1.720,0;11,3;-199,3;19,6;17,9;30,1;93,1;20,6;17,6;32,0;47,9;35,7
2018;0,6;-17,9;-12,5;-7,3;-16,4;-16,2;-241,9;142,5;80,0;40,7;24,0;51,7;364,1;19,6;14,4;-1.783,5;6,1;-175,2;5,2;-16,8;25,9;88,9;17,5;9,0;33,7;49,1;39,8
2019;12,6;-22,7;-12,9;-16,8;-17,6;-20,7;-249,6;141,2;74,6;43,8;15,7;51,3;297,9;17,9;11,6;-2.333,5;-11,3;-160,0;-18,0;-16,0;21,0;83,8;18,3;3,2;31,9;54,2;34,4
2020;21,6;-26,0;-17,2;-12,4;-14,1;-27,1;-254,0;162,0;86,8;50,4;14,9;58,1;302,8;13,6;0,2;-2.587,0;-16,0;-159,8;-36,4;-19,9;16,0;87,8;22,0;-0,4;31,3;55,8;36,3
2021;23,0;-29,2;-16,8;-15,7;-8,8;-46,4;-283,2;163,0;78,0;48,9;4,0;56,7;251,9;11,7;-5,5;-2.533,2;-4,8;-128,3;-50,0;-21,5;9,6;80,8;21,0;-1,6;31,3;52,5;42,8
