;Belgium;Bulgaria;Czechia;Denmark;Germany (until 1990 former territory of the FRG);Estonia;Ireland;Greece;Spain;France;Croatia;Italy;Cyprus;Latvia;Lithuania;Luxembourg;Hungary;Malta;Netherlands;Austria;Poland;Portugal;Romania;Slovenia;Slovakia;Finland;Sweden;United Kingdom;Montenegro;Albania;Serbia;Turkey
2012-Q1;78.160,0;5.244,6;31.294,5;33.331,0;317.622,0;3.549,1;43.991,0;10.631,3;75.215,0;153.325,0;2.804,7;109.517,3;2.166,1;2.992,3;5.715,4;19.298,5;21.045,9;2.818,0;128.015,0;44.167,6;41.416,2;15.158,4;11.987,4;6.394,1;15.730,0;19.135,0;47.981,7;154.652,0;172,5;326,2;2.579,0;34.412,3
2012-Q2;78.498,0;6.412,6;30.750,1;35.228,8;316.325,0;3.843,0;45.758,4;13.442,2;82.136,0;152.416,0;4.095,8;118.793,6;2.771,1;3.254,4;6.072,7;19.355,2;21.575,2;3.121,6;128.860,0;41.522,3;42.174,0;16.060,4;12.371,3;6.699,8;16.948,1;19.577,0;49.363,1;156.987,8;292,4;395,1;3.039,8;42.034,9
2012-Q3;75.143,0;7.768,3;29.937,8;35.713,2;319.066,0;4.035,9;46.223,2;17.344,8;85.868,0;148.694,0;6.957,5;116.821,6;3.181,3;3.598,6;7.004,3;19.841,6;21.962,2;3.146,1;126.493,0;42.799,5;43.572,6;16.801,9;12.362,9;6.694,1;16.660,0;19.339,0;47.668,2;161.954,7;711,3;407,4;3.119,2;46.584,5
2012-Q4;78.701,0;6.078,1;31.000,5;34.803,7;318.261,0;4.017,6;47.040,1;12.727,1;81.116,0;155.559,0;3.539,2;115.848,2;2.634,6;3.733,9;7.343,2;21.163,1;21.520,1;2.927,2;135.762,0;43.499,4;44.550,3;15.558,0;13.068,3;6.637,6;17.558,6;19.968,0;48.539,3;159.665,6;213,3;403,7;3.317,6;43.728,9
2013-Q1;77.560,0;5.878,0;29.167,8;33.804,5;311.596,0;3.742,9;43.950,5;10.255,1;77.714,0;153.998,0;2.771,6;108.591,2;2.080,7;3.194,9;6.694,9;20.789,4;20.736,5;2.970,4;131.316,0;43.790,8;42.582,6;15.388,2;13.215,7;6.468,3;16.254,7;19.202,0;46.430,2;151.302,4;163,8;381,6;2.995,6;38.743,7
2013-Q2;77.739,0;6.549,7;30.459,7;35.775,5;317.936,0;4.155,0;47.763,9;13.844,0;88.044,0;156.934,0;4.100,5;118.723,8;2.851,9;3.342,7;6.714,1;21.381,8;21.858,1;3.079,8;130.471,0;42.017,7;44.674,6;17.090,2;14.234,3;6.865,0;17.857,5;19.267,0;48.113,2;161.279,6;298,1;458,8;3.544,7;44.727,0
2013-Q3;76.003,0;8.266,3;30.056,6;36.505,9;320.215,0;4.079,6;47.208,9;18.487,8;88.058,0;151.490,0;7.123,9;117.710,6;3.217,4;3.546,2;7.073,2;21.234,8;22.279,0;3.371,6;129.172,0;43.254,5;46.156,2;18.204,5;14.743,2;6.911,5;17.060,0;19.370,0;45.835,3;156.810,2;724,1;454,8;4.060,0;44.924,8
2013-Q4;80.348,0;6.462,8;31.563,5;35.779,3;327.131,0;4.015,0;47.321,0;11.751,2;82.517,0;159.284,0;3.688,2;116.757,4;2.891,7;3.680,7;7.082,9;23.188,5;22.450,6;2.969,3;136.622,0;44.038,8;47.060,1;16.843,1;15.320,9;6.810,4;18.435,4;19.839,0;47.555,9;156.811,9;204,1;461,0;3.906,6;42.769,4
2014-Q1;80.063,0;5.652,9;31.670,1;34.643,1;324.331,0;3.733,7;47.722,0;10.874,0;79.576,0;158.375,0;3.050,0;110.572,3;2.207,1;3.393,8;6.002,1;22.306,5;22.226,1;3.150,7;132.939,0;44.672,9;46.211,2;15.865,7;14.856,8;6.734,3;17.284,3;17.755,0;46.630,4;152.459,9;150,2;423,7;3.423,7;40.392,4
2014-Q2;80.764,0;6.785,0;32.414,6;35.792,5;328.184,0;4.200,1;53.683,4;14.404,3;87.599,0;157.948,0;4.479,5;120.531,9;2.965,0;3.496,4;6.612,2;23.136,4;23.161,5;3.266,5;134.010,0;42.405,7;47.770,2;17.575,4;15.139,1;7.138,4;17.687,0;19.172,0;48.071,2;162.218,5;278,0;503,6;3.767,8;43.735,5
2014-Q3;78.708,0;8.528,3;32.006,6;37.221,5;336.504,0;4.273,5;55.610,0;19.631,8;91.605,0;155.222,0;7.412,0;120.567,5;3.433,5;3.691,8;6.937,2;23.676,9;23.516,8;3.443,9;134.159,0;44.848,4;48.746,1;18.762,1;16.133,8;7.381,8;16.871,2;19.065,0;46.013,2;164.389,4;736,5;449,6;3.819,1;47.808,9
2014-Q4;82.065,0;6.829,0;33.254,0;37.482,7;346.453,0;4.205,3;57.334,3;12.666,2;86.813,0;166.219,0;3.856,9;122.047,1;2.903,1;3.861,6;6.885,9;25.545,7;23.687,4;3.249,2;140.021,0;45.928,3;50.377,0;17.392,1;16.313,2;7.404,6;17.945,5;19.487,0;49.161,2;172.925,2;223,4;450,4;3.912,2;46.503,6
2015-Q1;80.586,0;6.628,6;33.271,0;37.727,7;345.323,0;3.769,9;74.440,9;10.822,4;83.760,0;165.876,0;3.300,3;114.707,9;2.661,3;3.459,5;5.748,9;25.940,5;23.495,9;3.627,7;143.651,0;46.331,7;50.850,3;16.797,8;16.013,7;7.136,1;17.669,1;18.002,0;47.657,1;169.245,0;162,1;416,0;3.659,0;44.912,2
2015-Q2;82.200,0;7.362,7;34.411,4;37.898,0;355.774,0;4.102,7;78.173,8;14.714,2;92.996,0;170.609,0;4.960,2;128.168,9;3.392,1;3.620,2;6.556,4;26.422,9;24.721,9;3.932,0;141.122,0;44.097,3;52.875,3;18.623,7;16.568,7;7.505,4;18.476,2;19.141,0;50.788,9;187.698,5;282,9;490,9;4.153,2;48.279,1
2015-Q3;78.164,0;8.378,8;33.411,9;38.289,2;356.547,0;4.054,8;81.926,9;19.100,0;95.307,0;163.403,0;8.177,0;123.789,8;3.488,8;3.827,1;6.686,2;25.115,7;24.998,4;4.119,1;139.966,0;46.405,8;52.412,0;19.824,7;16.934,1;7.656,1;17.909,3;18.266,0;48.244,5;177.212,0;840,5;417,6;4.173,2;49.765,4
2015-Q4;83.265,0;6.858,1;35.491,5;37.387,3;362.262,0;4.048,6;86.023,3;12.025,6;90.293,0;172.670,0;4.282,8;125.238,4;2.994,7;3.898,3;6.694,0;26.385,0;25.513,4;3.777,9;145.614,0;45.934,4;55.196,9;17.744,5;16.761,4;7.676,8;19.341,3;19.436,0;52.721,2;187.101,6;253,7;415,2;4.162,0;47.562,1
2016-Q1;80.574,0;6.571,8;34.681,8;35.574,0;348.038,0;3.785,7;78.730,1;9.805,2;85.120,0;167.992,0;3.503,2;115.379,1;3.088,8;3.474,0;5.918,5;25.873,5;23.689,1;3.806,1;136.009,0;48.084,3;52.812,8;16.604,9;16.816,2;7.420,9;17.781,4;17.877,0;47.379,6;166.334,4;151,7;385,6;4.085,0;42.089,5
2016-Q2;85.860,0;7.675,7;36.295,7;37.991,6;366.828,0;4.344,4;80.086,4;13.366,3;97.815,0;171.011,0;5.159,6;128.171,6;3.228,4;3.713,4;6.567,5;26.341,2;25.646,6;4.162,5;139.960,0;45.483,5;55.934,7;18.642,8;17.642,4;7.914,1;19.475,5;19.297,0;50.473,2;179.069,1;315,2;464,8;4.492,7;44.972,4
2016-Q3;84.184,0;9.158,9;33.354,7;37.544,4;358.121,0;4.310,4;82.459,3;18.821,7;98.622,0;161.981,0;8.940,6;125.459,6;3.755,3;3.899,4;6.725,5;26.658,5;25.587,1;4.442,0;139.214,0;47.199,0;54.644,8;20.804,1;18.053,4;7.971,7;18.219,5;18.677,0;47.782,3;164.313,4;870,1;435,0;4.531,6;44.799,1
2016-Q4;90.997,0;7.745,3;36.031,3;40.148,2;371.290,0;4.307,0;86.959,6;12.601,6;95.813,0;174.785,0;4.636,0;128.328,2;3.280,1;4.028,7;7.073,2;28.539,7;25.531,1;4.223,4;148.194,0;46.642,6;58.351,1;18.937,3;18.530,1;8.076,6;20.478,8;19.868,0;53.314,3;177.888,1;268,5;487,8;4.734,6;49.165,1
2017-Q1;92.059,0;7.783,1;38.159,4;39.492,7;380.279,0;4.204,0;84.294,1;11.790,4;95.504,0;175.305,0;4.122,0;126.310,1;2.788,9;3.860,8;7.123,5;26.829,6;26.450,5;4.388,7;151.882,0;50.623,1;61.085,7;19.353,0;19.010,6;8.399,5;19.555,2;20.390,0;51.044,5;173.709,7;204,1;461,1;4.501,4;46.713,5
