index,Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Montenegro,Albania,Serbia,Turkey
2012-Q1,78992.0,6099.4,28713.4,30474.0,274386.0,3376.5,36827.7,15996.0,76634.0,162045.0,4282.3,113640.6,2646.1,3354.9,6086.6,15842.2,19851.2,2799.3,111606.0,39710.8,43026.4,16415.5,13311.2,6233.9,15255.3,20663.0,42946.2,158903.7,462.4,853.3,3944.7,44881.9
2012-Q2,77596.0,7107.2,28567.6,31118.2,273065.0,3795.8,39086.2,15816.6,75983.0,159949.0,4687.3,112027.6,2807.0,3607.7,5830.0,16198.5,19736.4,3054.5,115060.0,40573.7,42760.7,16067.9,14633.8,6290.4,15637.6,20330.0,43071.9,164593.0,572.7,937.0,4183.6,50482.1
2012-Q3,75481.0,6913.8,28227.2,30962.3,280892.0,4019.9,36477.9,14690.9,74654.0,154131.0,4662.2,109099.5,2915.8,3873.7,6951.2,16428.4,19917.7,3012.7,112759.0,41574.8,43470.4,15812.9,14253.2,6305.4,15570.5,19447.0,42979.1,172328.3,591.4,1014.4,4114.5,50379.4
2012-Q4,78190.0,6771.8,29730.0,31197.1,275462.0,3956.8,40006.8,16262.6,75770.0,160939.0,4455.4,108283.9,2756.1,3922.7,7064.0,16935.2,20468.7,2883.9,116117.0,41222.6,45397.4,16115.1,14602.9,6363.7,16377.4,20703.0,44081.2,163716.9,539.9,996.7,4471.8,48970.8
2013-Q1,77673.0,6249.6,26431.6,30533.9,270319.0,3645.7,36802.0,14692.4,71733.0,159953.0,4144.2,105579.8,2514.4,3489.4,6533.3,17070.2,19166.1,2892.5,111415.0,38636.2,42240.4,15312.1,13298.3,6130.8,15512.5,19945.0,41523.6,155224.4,415.2,757.1,3935.0,48712.7
2013-Q2,76300.0,6874.1,27467.6,31238.0,275801.0,4022.2,38689.9,14636.0,74614.0,161587.0,4909.9,105980.9,2535.5,3574.1,6442.6,17566.1,20241.4,2901.3,114673.0,40710.5,42264.8,16528.4,14452.7,6332.4,16154.9,19621.0,42920.9,162835.1,560.1,910.6,4289.1,55139.0
2013-Q3,75358.0,7252.6,28288.2,31666.0,287130.0,3931.1,36759.1,14934.9,73568.0,157488.0,4845.8,105334.6,2733.2,3854.4,7063.2,17636.1,20014.5,3130.0,114183.0,42202.9,44676.9,16773.2,15254.1,6332.0,16060.3,19901.0,41250.6,168313.6,574.4,947.5,4491.6,51311.2
2013-Q4,79184.0,7019.8,29952.4,31330.9,281737.0,3886.0,40204.9,14503.8,76330.0,164583.0,4656.4,106199.4,2974.2,3842.2,7017.9,18497.4,21282.8,2862.1,119866.0,42430.4,45649.0,17039.3,15801.0,6555.2,17713.5,20374.0,43486.2,169318.7,515.8,1072.7,4789.6,51814.0
2014-Q1,79746.0,6400.0,28350.5,30759.1,276911.0,3723.6,40602.8,14249.1,76145.0,165019.0,4363.9,104859.3,2404.7,3577.7,5949.1,18546.6,20523.8,2973.7,113620.0,40525.3,45334.1,16423.2,14531.5,6302.4,16380.5,18582.0,42079.7,160759.5,396.1,830.6,4024.8,46588.1
2014-Q2,78619.0,6916.1,29485.3,31556.1,280570.0,3952.7,43846.0,15001.1,78145.0,165355.0,5004.9,107802.3,2900.5,3662.7,6474.6,18781.0,21901.8,2990.7,116996.0,41097.3,46560.3,17135.1,15248.4,6460.1,16406.0,19944.0,43676.5,166822.6,561.9,1013.3,4497.9,50224.9
2014-Q3,79136.0,7519.9,29807.3,31877.2,291961.0,4005.1,44474.1,15393.1,78747.0,162720.0,4970.3,106603.6,3159.7,3901.1,6676.5,19518.5,21521.0,3090.8,116956.0,42923.2,47517.5,17725.6,16236.2,6589.4,15954.2,19417.0,42354.3,178937.5,583.8,995.9,4577.0,50201.3
2014-Q4,80800.0,7426.2,31697.5,32442.8,292280.0,4031.6,50241.4,15689.1,80564.0,169294.0,4618.1,107331.3,2880.2,3997.0,6671.8,21175.5,22432.6,3006.4,119000.0,42416.9,49726.7,18052.4,17068.7,6765.6,17373.4,19915.0,45933.7,181495.6,532.5,1106.5,4686.3,55158.4
2015-Q1,81739.0,6786.9,29830.5,32679.0,287563.0,3622.1,53444.7,15136.9,79361.0,170097.0,4700.5,108279.8,2654.8,3598.5,5956.1,21690.0,21088.5,3307.7,115790.0,39998.1,47420.7,16819.9,15885.2,6444.4,16877.7,18895.0,43508.6,185049.0,420.0,845.5,4372.5,50755.2
2015-Q2,78979.0,7336.4,31924.3,33132.5,293819.0,3835.6,59304.2,15302.9,83092.0,172738.0,5373.9,114216.5,3084.6,3756.6,6904.4,21946.4,22780.3,3738.4,153578.0,41787.9,49878.1,18809.0,16571.1,6746.2,17629.7,18541.0,45651.6,189624.9,590.8,974.4,4717.3,54125.9
2015-Q3,76537.0,7210.0,31365.4,33452.5,304250.0,3800.6,59602.9,13177.3,82590.0,166494.0,5336.9,108499.5,3061.3,3976.3,6674.3,20867.5,22642.3,3864.8,122417.0,44266.4,50611.6,17911.4,17315.6,6767.9,17348.1,18536.0,44179.6,194486.7,614.8,977.9,4675.0,49389.1
2015-Q4,81053.0,7483.0,33411.1,33504.8,304428.0,3906.1,72534.3,14850.0,84550.0,175682.0,5186.5,111020.4,3268.4,3897.3,6523.0,21743.0,23497.2,3569.6,126809.0,43804.0,51568.6,18121.6,17822.7,6906.9,19087.8,20075.0,48711.8,190900.7,587.9,1101.1,4897.4,52380.8
2016-Q1,78392.0,6447.6,30569.9,31384.6,290472.0,3715.7,66003.7,13400.2,79533.0,172307.0,4907.6,107101.8,2655.8,3428.6,5855.5,21441.3,21452.2,3559.8,116366.0,41109.9,48656.6,16874.6,16876.7,6517.8,17242.0,18524.0,43748.2,177965.1,471.0,894.1,4453.1,47023.4
2016-Q2,82768.0,7138.1,32246.4,33213.6,298485.0,4149.7,72530.8,14029.2,83879.0,172573.0,5632.8,111618.3,3481.7,3718.7,6701.0,21993.7,22813.9,3922.0,123307.0,43296.9,50704.7,18247.7,17993.4,6995.6,18731.0,19760.0,46627.7,182467.8,706.3,1126.8,5033.4,51542.6
2016-Q3,84498.0,7365.2,30515.9,32952.7,306518.0,3934.9,68438.3,14311.3,81581.0,166525.0,5584.5,108022.4,3084.8,3846.9,6556.7,21591.8,22733.3,3936.0,122670.0,44186.1,51871.4,18256.7,18422.4,7023.3,17591.3,19193.0,45096.7,190067.4,686.8,1057.7,4871.6,46185.4
2016-Q4,90821.0,7807.4,33497.3,34785.3,317556.0,4162.9,78909.1,15374.4,87962.0,177882.0,5551.6,114835.5,3809.5,4040.3,6891.2,23410.3,23688.2,3888.9,128701.0,45117.7,54424.6,19470.3,19522.6,7393.2,20000.9,21021.0,49203.3,180874.0,629.9,1139.7,5260.6,53302.8
2017-Q1,91962.0,7641.4,33554.6,34648.1,318971.0,4019.1,62544.8,16091.1,91274.0,186711.0,5720.3,119121.3,3294.4,3844.3,7072.6,22628.3,24699.1,3959.9,130485.0,45020.6,56794.0,19589.4,19377.4,7562.2,19181.2,20412.0,48388.6,183952.8,557.8,979.9,5103.7,51829.1
2017-Q2,90805.0,8149.0,34753.1,34918.7,324228.0,4348.4,100936.9,15826.4,89904.0,182431.0,6232.9,122146.4,3532.6,4145.3,7557.4,23192.4,24994.7,3961.1,132665.0,46691.1,57796.5,20547.5,20653.7,7882.6,19236.8,21462.0,48936.3,186661.6,717.2,1208.1,5653.8,57097.6
2017-Q3,87452.0,8192.0,33374.3,35182.5,328931.0,4242.4,60009.1,15737.4,89791.0,176376.0,6217.8,117373.6,3526.8,4420.8,7544.8,23044.4,25153.5,4133.3,133419.0,47830.2,58178.5,20261.3,21061.7,7971.2,19172.4,20839.0,48351.3,188745.7,739.2,1186.5,5572.4,56433.4
2017-Q4,95361.0,8945.3,37233.6,36467.8,337157.0,4491.6,70537.4,16994.1,95520.0,189902.0,6092.6,125354.8,4713.3,4379.1,7959.0,24813.7,25880.1,4195.2,139594.0,48417.9,62864.5,21340.8,22417.4,8476.5,21059.7,22158.0,51994.1,185221.6,758.8,1296.3,6062.5,60143.2
2018-Q1,95024.0,8217.0,35856.1,36301.5,331222.0,4260.8,62860.7,17559.7,94098.0,192301.0,6219.9,123910.3,3407.0,4113.1,7710.7,23704.3,25797.7,3951.8,137970.0,47925.0,62529.7,20765.2,21679.4,8298.3,19999.0,22162.0,49522.1,184262.5,616.4,1102.1,5748.6,54877.2
2018-Q2,93914.0,8897.7,37263.6,39288.5,339577.0,4715.0,70554.7,18519.4,98333.0,194353.0,6743.6,129109.4,3976.8,4417.8,8282.2,24237.6,27198.0,4125.3,143110.0,50136.4,63468.9,22675.2,22905.3,8754.4,20922.7,22944.0,51046.9,190502.9,834.0,1283.2,6232.4,56596.5
2018-Q3,94048.0,9045.9,36798.7,37839.7,355371.0,4662.9,72259.0,18564.7,97122.0,187550.0,6770.2,125232.5,3816.3,4841.8,8552.3,24554.4,26919.8,4192.3,145158.0,51392.6,64511.9,21901.5,23230.0,8714.0,20479.8,22923.0,49288.5,198802.1,823.6,1249.8,6440.6,48939.7
2018-Q4,100113.0,9348.6,39854.3,38989.6,359144.0,4916.9,102223.6,19256.9,100851.0,199171.0,6792.6,134565.4,4744.2,4754.2,8856.3,26324.1,28231.0,4284.2,147594.0,52666.2,69208.3,22852.5,24768.9,9259.8,23029.2,24709.0,54630.9,203011.3,837.8,1402.1,6910.9,48457.7
2019-Q1,97747.0,8762.0,37229.1,39414.9,351088.0,4490.0,76016.2,18579.8,97724.0,199819.0,6838.4,125670.0,4194.3,4319.5,8259.6,26100.5,28159.6,4479.4,142519.0,50871.5,66009.6,22240.5,24061.8,8823.6,21555.2,23160.0,51240.5,214231.4,661.8,1187.2,6396.8,47785.2
2019-Q2,97537.0,9300.3,37981.5,39433.6,351437.0,4968.4,121822.2,19147.2,98851.0,200455.0,7412.4,129486.3,4156.2,4649.0,9013.0,26961.1,28670.4,4409.0,149172.0,52298.1,67143.5,23451.2,24353.1,9268.6,21425.9,24061.0,52312.9,194544.9,872.9,1378.4,6931.7,49600.0
2019-Q3,93897.0,9513.8,37669.3,40084.3,359689.0,4978.5,82669.1,19103.2,100293.0,192992.0,7146.9,124696.9,4527.8,4877.0,9033.8,27429.7,29579.6,4662.6,149270.0,51986.2,67325.0,23027.9,24904.0,9238.6,20929.6,23666.0,50687.9,207435.0,871.7,1345.5,7066.2,50780.9
2019-Q4,100675.0,9793.4,40301.4,41295.4,361006.0,4945.3,163036.6,19876.0,101639.0,200170.0,6974.8,128177.0,4466.7,4709.0,8899.0,29004.1,29677.9,4599.0,150398.0,51697.0,69756.2,23582.1,25989.3,9118.2,22487.4,24396.0,53796.1,200420.5,811.4,1367.7,7644.2,55517.7
2020-Q1,96818.0,8514.9,36465.5,39362.2,345308.0,4356.1,142207.3,18068.7,92842.0,185949.0,6511.0,116061.0,4561.2,4410.3,8138.8,26964.5,27867.7,4652.4,141457.0,48292.5,67301.2,22205.6,24361.7,8556.6,20923.8,22958.0,49186.6,183240.4,662.6,1123.8,6891.8,54000.2
2020-Q2,80492.0,6949.5,29436.3,34534.0,277492.0,3806.7,79776.5,14456.2,65031.0,150865.0,5318.2,89988.0,3765.3,3755.7,6784.9,25377.7,22437.3,4330.2,125413.0,40561.3,53235.9,15591.5,17959.5,6905.0,15383.1,19485.0,42956.0,135603.6,599.8,1070.5,5494.7,41190.3
2020-Q3,86753.0,8426.6,33727.2,36990.5,314705.0,4747.4,74429.9,16529.6,80655.0,171495.0,6178.0,105288.1,4007.7,4607.4,8147.0,27669.8,26577.3,4457.5,133771.0,46112.0,65736.0,19514.5,22950.9,7947.2,19402.8,20460.0,45630.8,157637.2,624.8,1270.0,6620.4,51177.9
2020-Q4,95090.0,9138.3,38599.7,40465.7,331784.0,6060.0,109410.7,16412.9,88495.0,180103.0,6481.4,117320.8,4593.7,4683.8,8720.7,30194.3,28854.5,4399.2,139007.0,49247.3,72466.4,21011.6,25527.8,8804.2,22106.8,21634.0,52292.3,,666.3,1426.1,7443.8,56409.4
2021-Q1,96484.0,9212.6,37608.4,39791.3,337397.0,5377.0,82422.3,18005.7,88670.0,184863.0,6530.2,118994.1,4081.1,4479.6,8676.4,30529.6,28156.2,4608.9,138413.0,49810.7,71960.7,20618.6,25494.5,8786.0,21897.3,21608.0,50341.1,,534.3,1313.2,6773.9,52716.4
2021-Q2,103648.0,10014.5,42033.7,43449.5,359109.0,6394.6,92649.9,20817.1,96742.0,195412.0,7466.8,129824.2,4774.3,5281.5,10226.5,31815.2,30220.8,4942.1,152582.0,55268.6,76930.4,23021.1,27052.8,9935.1,22443.0,22938.0,53728.1,,771.1,1561.6,8178.1,56440.5
2021-Q3,106295.0,10742.6,40620.1,45027.0,377733.0,6116.3,93149.1,23459.4,101290.0,195905.0,7631.5,133747.5,4857.6,5956.0,10888.0,31861.2,31497.1,5096.6,161993.0,58148.1,81456.0,24341.8,28124.9,10307.5,21832.1,24627.0,54743.4,,914.8,1653.6,8720.0,60511.4
2021-Q4,119692.0,12080.0,45785.1,49182.9,422805.0,6720.4,130360.5,26489.9,115907.0,219043.0,8383.1,155774.1,5021.6,6023.5,12402.7,35361.4,34281.0,4978.2,171807.0,58805.1,92325.7,27143.4,30994.6,11658.7,25607.6,28708.0,63446.2,,859.8,2016.2,9517.8,72482.2
