index,European Union - 27 countries (from 2020),European Union - 28 countries (2013-2020),European Union - 27 countries (2007-2013),Euro area - 19 countries  (from 2015),Euro area - 18 countries (2014),Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Germany including former GDR,Estonia,Ireland,Greece,Spain,France,France (metropolitan),Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)","European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",European Free Trade Association,Iceland,Liechtenstein,Norway,Switzerland,United Kingdom,Montenegro,North Macedonia,Albania,Serbia,Turkey,Andorra,Belarus,Bosnia and Herzegovina,Kosovo (under United Nations Security Council Resolution 1244/99),Moldova,Monaco,Russia,San Marino,Ukraine,Armenia,Azerbaijan,Georgia
2012,440552661.0,504047964.0,499771980.0,335288924.0,332285283.0,11075889.0,7327224.0,10505445.0,5580516.0,80327900.0,80327900.0,1325217.0,4589287.0,11086406.0,46818219.0,65276983.0,63375971.0,4275984.0,59394207.0,862011.0,2044813.0,3003641.0,524853.0,9931925.0,417546.0,16730348.0,8408121.0,38063792.0,10542398.0,20095996.0,2055496.0,5404322.0,5401267.0,9482855.0,509389884.0,505113900.0,13296582.0,319575.0,36475.0,4985870.0,7954662.0,63495088.0,620308.0,2059794.0,2903008.0,7216649.0,74724269.0,78115.0,9465150.0,3839265.0,,3559541.0,,143056383.0,33376.0,45453282.0,3274285.0,9235085.0,4497617.0
2013,441257711.0,505163008.0,500900868.0,336044966.0,333073061.0,11137974.0,7284552.0,10516125.0,5602628.0,80523746.0,80523746.0,1320174.0,4609779.0,11003615.0,46727890.0,65600350.0,63697865.0,4262140.0,59685227.0,865878.0,2023825.0,2971905.0,537039.0,9908798.0,422509.0,16779575.0,8451860.0,38062535.0,10487289.0,20020074.0,2058821.0,5410836.0,5426674.0,9555893.0,510572978.0,506310838.0,13449030.0,321857.0,36838.0,5051275.0,8039060.0,63905342.0,620893.0,2062294.0,2897770.0,7181505.0,75627384.0,76246.0,9463840.0,,,3559497.0,,,33562.0,45372692.0,,9356483.0,
2014,442883888.0,507235091.0,502988282.0,337764352.0,334820880.0,11180840.0,7245677.0,10512419.0,5627235.0,80767463.0,80767463.0,1315819.0,4637852.0,10926807.0,46512199.0,66165980.0,,4246809.0,60782668.0,858000.0,2001468.0,2943472.0,549680.0,9877365.0,429424.0,16829289.0,8507786.0,38017856.0,10427301.0,19947311.0,2061085.0,5415949.0,5451270.0,9644864.0,512705861.0,508459052.0,13610401.0,325671.0,37129.0,5107970.0,8139631.0,64351203.0,621521.0,2065769.0,2892394.0,7146759.0,76667864.0,,9468154.0,,,3557634.0,,143666931.0,,45245894.0,,9477119.0,4490498.0
2015,443666812.0,508520205.0,504294889.0,338562121.0,335640859.0,11237274.0,7202198.0,10538275.0,5659715.0,81197537.0,81197537.0,1314870.0,4677627.0,10858018.0,46449565.0,66458153.0,,4225316.0,60795612.0,847008.0,1986096.0,2921262.0,562958.0,9855571.0,439691.0,16900726.0,8584926.0,38005614.0,10374822.0,19870647.0,2062874.0,5421349.0,5471753.0,9747355.0,514053164.0,509827848.0,13770625.0,329100.0,37366.0,5166493.0,8237666.0,64853393.0,622099.0,2069172.0,2885796.0,7114393.0,77695904.0,,9480868.0,,,3555159.0,,,,42759661.0,3010598.0,9593038.0,3729500.0
2016,444802830.0,510181874.0,505991205.0,339787987.0,336899429.0,11311117.0,7153784.0,10553843.0,5707251.0,82175684.0,82175684.0,1315944.0,4726286.0,10783748.0,46440099.0,66638391.0,,4190669.0,60665551.0,848319.0,1968957.0,2888558.0,576249.0,9830485.0,450415.0,16979120.0,8700471.0,37967209.0,10341330.0,19760585.0,2064188.0,5426252.0,5487308.0,9851017.0,515762746.0,511572077.0,13907998.0,332529.0,37622.0,5210721.0,8327126.0,65379044.0,622218.0,2071278.0,2875592.0,7076372.0,78741053.0,,9498364.0,,1771604.0,,,,,42590879.0,2998577.0,9705643.0,3720400.0
2017,445534430.0,511378572.0,507224359.0,340541142.0,337693238.0,11351727.0,7101859.0,10578820.0,5748769.0,82521653.0,82521653.0,1315635.0,4784383.0,10768193.0,46528024.0,66809816.0,,4154213.0,60589445.0,854802.0,1950116.0,2847904.0,590667.0,9797561.0,460297.0,17081507.0,8772865.0,37972964.0,10309573.0,19643949.0,2065895.0,5435343.0,5503297.0,9995153.0,517013048.0,512858835.0,14054026.0,338349.0,37810.0,5258317.0,8419550.0,65844142.0,622387.0,2073702.0,2876591.0,7040272.0,79814871.0,,9504704.0,,1783531.0,3550852.0,,,,42414905.0,2986151.0,9809981.0,3718200.0
2018,446208557.0,512482133.0,508376640.0,341253004.0,338444103.0,11398589.0,7050034.0,10610055.0,5781190.0,82792351.0,82792351.0,1319133.0,4830392.0,10741165.0,46658447.0,67026224.0,,4105493.0,60483973.0,864236.0,1934379.0,2808901.0,602005.0,9778371.0,475701.0,17181084.0,8822267.0,37976687.0,10291027.0,19533481.0,2066880.0,5443120.0,5513130.0,10120242.0,518164316.0,514058823.0,14166313.0,348450.0,38114.0,5295619.0,8484130.0,66273576.0,622359.0,2075301.0,2870324.0,7001444.0,80810525.0,,9491823.0,,1798506.0,,,,34453.0,42216766.0,2972732.0,9898085.0,3729633.0
2019,446446444.0,513093556.0,509017310.0,341524067.0,338729883.0,11455519.0,7000039.0,10649800.0,5806081.0,83019213.0,83019213.0,1324820.0,4904240.0,10724599.0,46937060.0,67177636.0,,4076246.0,59816673.0,875899.0,1919968.0,2794184.0,613894.0,9772756.0,493559.0,17282163.0,8858775.0,37972812.0,10276617.0,19414458.0,2080908.0,5450421.0,5517919.0,10230185.0,518817137.0,514740891.0,14268108.0,356991.0,38378.0,5328212.0,8544527.0,66647112.0,622182.0,2077132.0,2862427.0,6963764.0,82003882.0,76177.0,9475174.0,,1795666.0,,,,,41983564.0,2965269.0,9981457.0,3723464.0
2020,447319916.0,,510287293.0,342409476.0,339615386.0,11522440.0,6951482.0,10693939.0,5822763.0,83166711.0,83166711.0,1328976.0,4964440.0,10718565.0,47332614.0,67320216.0,,4058165.0,59641488.0,888005.0,1907675.0,2794090.0,626108.0,9769526.0,514564.0,17407585.0,8901064.0,37958138.0,10295909.0,19328838.0,2095861.0,5457873.0,5525292.0,10327589.0,520115919.0,516057754.0,14376494.0,364134.0,38747.0,5367580.0,8606033.0,67025542.0,621873.0,2076255.0,2845955.0,6926705.0,83154997.0,,,,1782115.0,,,,,41732779.0,2959694.0,10067108.0,3716858.0
2021,447218763.0,,,342572308.0,339776628.0,11566041.0,6916548.0,10701777.0,5840045.0,83155031.0,83155031.0,1330068.0,5006324.0,10678632.0,47398695.0,67656682.0,,4036355.0,59236213.0,896007.0,1893223.0,2795680.0,634730.0,9730772.0,516100.0,17475415.0,8932664.0,37840001.0,10298252.0,19201662.0,2108977.0,5459781.0,5533793.0,10379295.0,,,14469516.0,368792.0,39055.0,5391369.0,8670300.0,,620739.0,2068808.0,2829741.0,6871547.0,83614362.0,,,,,,,,,41418717.0,2963251.0,10119133.0,
